attempt_id	execution_stage	repeat_id	device	case_id	corpus_partition	case_class	execution_tier	source_kind	query_sha256	reference_sha256	pair_digest	query_length	reference_length	expected_status	observed_status	numeric_path	cpu_score1	reducer_score1	gpu_score1	cpu_ref_end1	reducer_ref_end1	gpu_ref_end1	cpu_read_end1	gpu_read_end1	cpu_score2	reducer_score2	gpu_score2	cpu_ref_end2	reducer_ref_end2	gpu_ref_end2	reducer_equal	gpu_equal	column_equal	cpu_column_digest	gpu_column_digest	cpu_endpoint_digest	reducer_endpoint_digest	gpu_endpoint_digest	cpu_endpoint_calls	driver_returncode	formal_contract
p6-primary-tiny	primary	0	0	tiny-ac-q01-r06	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	cb1ad2119d8fafb69566510ee712661f9f14b83385006ef92aec47f523a38358	260b28ae7dc16c0bc36275329037eee76c87944b88ace94bbbaca4b1e4b5833a	1	3	complete	complete	byte8	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	ba2b6282a813a6a0	ba2b6282a813a6a0	44781d4e69bf6a1a	44781d4e69bf6a1a	44781d4e69bf6a1a	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r07	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	d5ced0c0b64bf1582582acb55425f70c12991c397368a8bbad06bb0a5d2cfeb7	15690251d905e651c6b005cee3d80f7357780ca2d98aa39863b3955266338c46	1	3	complete	complete	byte8	5	5	5	2	2	2	0	0	0	0	0	0	0	0	1	1	1	e51b31ecf73183a5	e51b31ecf73183a5	4cdd7fe269ba8ce5	4cdd7fe269ba8ce5	4cdd7fe269ba8ce5	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r08	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	b32062bf7b8bed45bc6c7bedfe1c093bf2d45c0b87973bab9e1ef4b85497f469	e3309952fb1b3623700ef01d95c6d59157e1dba29204cea9a1f4298814219c65	1	3	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	41281cdda7121d00	41281cdda7121d00	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r09	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	2dde6d03ddaa287e3ac95b4befe8f38e8766a35092fc01e47e28d86c7a29e412	94822820472f017982947a7a9532e0f751a8b9559e10832ac27cc6643a1e1d59	1	3	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	41281cdda7121d00	41281cdda7121d00	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r10	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	084696b5b2f035fe1cafbccda422b6aa15b40d1d73bc98d7782beb4d83a5bc7f	99699447bf2fa175fc8617406ac20ee58e775e6f1e46968ea6cc1e1aa211f599	1	3	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	812e4eeda7d68605	812e4eeda7d68605	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r11	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	803859f5b9d6d170d5714b2d798c8bf5fbc9bd1806f6c108ed02adc6e6116004	12c14ffff0d8b58ec251cb713134cfd362a3315acd009e5bb5e72da9ea816c6a	1	3	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	812e4eeda7d68605	812e4eeda7d68605	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r12	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	89932f8285bde9d693a0691a3400ba249f0d5c1357fe157dae3254112e489143	39289c4fdfa8b0f6b113cc0741970e15e0feab97c707d81adcdba7a8a472ce33	1	3	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	812e4eeda7d68605	812e4eeda7d68605	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r13	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	8c55ff95a660f37cb05e644e7691e6c66593f453cb2cbaa4d64aa59b40ae8032	e8ccb2ca18a82adc1ea10f518a3021c6a4cb166b09eaf3d4f3e77a4347cdcf3c	1	3	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	812e4eeda7d68605	812e4eeda7d68605	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r00	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	d42c1baa4e521b541fa8c81d29a306eea30b6015c8f4a038a33b0c4abf8d362e	2	1	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	af132f815a1fbf27	af132f815a1fbf27	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q02-r01	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	879d9e892429317ab40710b609dde290b011c53cb6cfbd602b268940ae31a95f	2	1	complete	complete	byte8	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	842360170b01e222	842360170b01e222	44781d4e69bf6a1a	44781d4e69bf6a1a	44781d4e69bf6a1a	0	0	L3_exact
