replicate	E1	E2	E3	E4
225	-9.3319486707743598e-05	0	0.033496995787548015	0.40376367356565002
226	-6.1511025033395009e-05	0	0.019464719066165832	0.1059530356608271
227	0	0	0.018817930354406768	0.11698448143422353
228	0	0	0.015949164797973862	0.28944179500598366
229	-7.1985768136301198e-05	0	0.022672077693010918	0.27434614112670175
230	-6.6420149902929321e-05	0	0.019704295810788478	0.12096664131022042
231	0	0	0.011077978556388424	0.23139985329626697
232	0	0	0.0042353606180188883	0.015885270883985857
233	0	0	0.020166306595665665	0.082083055893573315
234	0	0	0.015245491878942058	0.037670107520955218
235	-0.00011907325827856252	0	0.028051320908123546	0.32402295664317887
236	0	0	0.010957822666167887	0.047757999521405976
237	-2.3404737974999647e-05	0	0.013618292003517468	0.1600309433605735
238	-1.7993527249826612e-05	0	0.0077048513688433408	0.041727000392179026
239	-1.8032534734435669e-05	0	0.02035447295414269	0.30609283038989382
240	0	0	0.011841301207965249	0.037854612524195509
241	0	0	0.0033204839944779322	0.080095049666009985
242	-7.1169561480993734e-05	0	0.026622551952833879	0.073148012381307997
243	0	0	0.012714057135833281	0.28587379402396546
244	-3.4162577584562205e-05	0	0.024460268741392139	0.22803954669075396
245	-8.4472457088885514e-05	0	0.027898588920628707	0.24102338846230453
246	-0.0001499839608182174	0	0.036355503091265125	0.3914438378405426
247	-6.0886657685110812e-07	0	0.011808647309318007	0.037923138890747721
248	-4.7740584829236708e-05	0	0.016951368633480676	0.23098607057483087
249	-0.00016522835973088458	0	0.027072301408019639	0.36449273171600088
250	-7.1658403661195585e-05	0	0.01647494557299458	0.13048135687374862
251	0	0	0.022134035878850208	0.23906594246355209
252	0	0	0.016806857081458577	0.28387261297272687
253	0	0	0.01649939114094846	0.19555361990104425
254	-2.2692599357165832e-06	0	0.0070067922893849392	-0.046831609576998501
255	0	0	0.024343980311556379	0.2651731855451121
256	0	0	0.0095983002764998219	0.35695615341351072
257	-6.4447904889824992e-05	0	0.015223713423428367	0.072833997402921777
258	0	0	0.022831339616287062	0.073598864524294302
259	-0.0001712160335404167	0	0.032837404694781927	0.45537221147418983
260	-0.00019446568560747558	0	0.027197879347864017	0.46219302369936671
261	-7.4000829394760265e-05	0	0.018791737905707682	0.24977477644702181
262	0	0	0.016979677619400828	0.16108784236799889
263	-4.7042330119378971e-05	0	0.026841341024036004	0.29280099376502955
264	0	0	0.0077836948161090162	0.092231344983573951
265	0	0	0.029288867564039762	0.2858608818899257
266	-1.9628579973929304e-05	0	0.016908898893423278	0.068560316884187913
267	0	0	0.02203532705224431	0.2218922759398459
268	-4.0203921639136998e-05	0	0.025393047655434063	0.3792056608151021
269	-1.9912187965331896e-05	0	0.020495353647043701	0.046005741320311697
270	-3.4998353988238698e-05	0	0.018482170118537179	0.053605493972334405
271	0	0	0.018869368982897733	0.09499091413879282
272	0	0	0.01992442014528643	0.2357055379261348
273	-5.4621078968844496e-05	0	0.011086512825893818	-0.08552653515506943
274	-9.5973995504139434e-05	0	0.022825699281304773	0.24476647338598037
275	-0.00011847061479050291	0	0.013107011551491113	0.09396293463523106
276	-2.2460943636037899e-05	0	0.023364255570321714	0.12820770647782803
277	0	0	0.028406065040081752	0.18827229618707869
278	-0.00019037641472279264	0	0.035055722101028863	0.39975879507214196
279	-5.7812476501933886e-05	0	0.021344820111585495	0.1550994339620769
280	-3.3931841263001858e-05	0	0.02395045179419944	0.13358838125319356
281	-6.7244850812608892e-05	0	0.025293062716079052	0.34077387151194721
282	0	0	0.016368506150339534	0.36995311590785207
283	0	0	-0.0009319380813478217	-0.21279409042045291
284	-2.0679030938636211e-05	0	0.016399357433062804	0.07966777365188564
285	-3.3410784240961444e-05	0	0.019839474708067576	0.19957303014249783
286	-6.7862964342907389e-05	0	0.018263170978527431	0.17749161423822624
287	0	0	0.015955811432995282	-0.054651317571648136
288	0	0	0.02254443364019381	0.19369778466791093
289	-3.5893639292461365e-07	0	0.027094475137802342	0.34425752150439504
290	0	0	0.01101600562726918	0.098074306845992928
291	-4.1515968909056067e-05	0	0.02181009745444646	0.21256520759269262
292	-0.00014914575326573364	0	0.023975134309553857	0.11392171084547194
293	0	0	0.01407330185637474	0.14348487074438662
294	-7.5789042894836014e-05	0	0.015766907309673998	0.14616405837339438
295	-8.7425421577752577e-05	0	0.022673249963245778	0.20359792021346057
296	0	0	0.0047737272696590591	0.16731799259938124
297	0	0	0.021066704281571157	0.16415275795735446
298	0	0	0.0056490850091358734	0.10671406721885994
299	0	0	0.017619313227927091	0.24813845763258105
300	-1.4689566161851797e-05	0	0.018467877184578544	0.10844167427303955
301	0	0	0.0042739108847243967	0.11882078612952221
302	-6.2437687163785507e-05	0	0.024823290289976228	0.13013136370780826
303	-9.2115409439003096e-05	0	0.023421887455598072	0.27177643325968959
304	0	0	0.009660401711030716	0.041993510099973388
305	-1.8764206603644195e-05	0	0.017444240963942755	0.12684880792837014
306	-4.8367094177165225e-05	0	0.020727876301760415	0.11928791218029922
307	-2.6208111996278703e-05	0	0.024217649159921077	0.28841874441448212
308	-3.4209970407991787e-05	0	0.027582642848346293	0.25075896539881526
309	0	0	0.024716234470142942	0.26857918527505242
310	-0.00015105284078679171	0	0.033838420826064253	0.53130170959498213
311	-0.00012507837878349414	0	0.027674597936808522	0.29736145408605602
312	-0.00015802274666368022	0	0.028551911247713314	0.38149153592872981
313	0	0	0.01673050365644331	0.0067241912609620784
314	-7.3382205835070827e-05	0	0.014660869040331712	0.23448563820035292
315	-0.00010951067205683396	0	0.021031595834840169	0.24256733753984258
316	-7.1394626357768049e-05	0	0.020740604258217821	0.31952485100068401
317	0	0	0.014480527665416406	0.27244719711874005
318	0	0	0.014425539654869281	0.13412194684026107
319	0	0	0.016418396438077357	0.27934211038965168
320	0	0	0.01154638697552228	0.079652362466700738
321	-6.3225234919517262e-05	0	0.032946160934096226	0.378136319937246
322	-6.8325802985713666e-07	0	0.023484612336492038	0.15615893563975353
323	0	0	0.024389858285331807	0.38271538713931658
324	-3.7056455272957421e-05	0	0.014773819440004388	-0.22741609732199422
325	-9.9602866003972729e-05	0	0.030788671222712165	0.14974531404435715
326	-7.1750550355198503e-05	0	0.019370192349860559	0.23520276536175982
327	0	0	0.013130481641741923	-0.044393717717700287
328	-6.6088187968688095e-05	0	0.027941358185307751	0.31022365161738014
329	-0.0001295376134111459	0	0.022076533476668086	0.25866136613295249
