validation_instance_id	repeat_id	primary_instance	workload_id	ranking_mode	mode_classifications	detail_kind	authority_index	candidate_index	authority_rank	candidate_rank	authority_site_digest	candidate_site_digest	target_overlap	query_representative_overlap	query_cluster_overlap	ungapped_tfo_equal	ungapped_tts_equal	target_endpoint_l1	query_endpoint_l1	cluster_center_distance	query_endpoint_shift	target_endpoint_shift	cluster_geometry_shift	rank_displacement	score_delta_candidate_minus_authority	nt_delta_candidate_minus_authority	stability_delta_candidate_minus_authority	strict_row_equal
bts3_w003__repeat00	0	1	bts3_w003	score	same candidate site endpoint shift	matched	1	1	2	2	42b313f30580335ba8f53f9eab9355a5e3b096cebaee45f9693f77dd2ffd14bc	6eaa17ca76db26e1dc8c6cc179c50a04e292058fe8d2bbd61f9f4c72d4cc0614	1	1	1	1	1	0	0	5	0	0	1	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	score	same candidate site endpoint shift	matched	2	2	3	3	3a5a337673af1cc0522d5c956b375e894564b37ca0c8b47e1e7ea15d95f71c6b	8e85089775929b4cac325eef0f4e9b34ae0105817a94e478e86a7015d3f02dfb	1	1	1	1	1	0	0	5	0	0	1	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	score	same candidate site endpoint shift	matched	3	3	4	4	0a92b7272562c70e2492e419034268659ce0dcd05feb87e8731132bc3ce4e0b0	0a92b7272562c70e2492e419034268659ce0dcd05feb87e8731132bc3ce4e0b0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	score	same candidate site endpoint shift	matched	4	4	5	5	570adf72f2de72126701e26060683957e485e9efbebf470dc8d29c4d7df3c08d	570adf72f2de72126701e26060683957e485e9efbebf470dc8d29c4d7df3c08d	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	stability	same candidate site endpoint shift	matched	0	0	1	1	78da16b67432962c1e4ee4335b7b9d267a05be0348ce7a5574106322642772b4	78da16b67432962c1e4ee4335b7b9d267a05be0348ce7a5574106322642772b4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	stability	same candidate site endpoint shift	matched	1	1	2	2	42411133b9f741053f3033b463ccb0a7161a89696e139059b7d6794e8ed1ed13	42411133b9f741053f3033b463ccb0a7161a89696e139059b7d6794e8ed1ed13	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	stability	same candidate site endpoint shift	matched	2	2	3	3	a64fa4ae1e6d6727ee35fd37d391b22bae38a1af0075bf28d793176ddb3b8fe0	6c23837742cd9e079e287157817c4ab05c56d41c3190c381d26f89fcf7a7ae57	1	1	1	1	1	0	0	5	0	0	1	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	stability	same candidate site endpoint shift	matched	3	3	4	4	5fd160be7334c562861c6bea1139fb81a96c7808dd8553e27570589ee8c7f6bb	5fd160be7334c562861c6bea1139fb81a96c7808dd8553e27570589ee8c7f6bb	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	stability	same candidate site endpoint shift	matched	4	4	5	5	f29773bae94aa7583ff2ecb5f5fa81b8dd0099ce13a8044c1ffef1cb98fc2e7a	f29773bae94aa7583ff2ecb5f5fa81b8dd0099ce13a8044c1ffef1cb98fc2e7a	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	nt	same candidate site endpoint shift	matched	0	0	1	1	3a5a337673af1cc0522d5c956b375e894564b37ca0c8b47e1e7ea15d95f71c6b	8e85089775929b4cac325eef0f4e9b34ae0105817a94e478e86a7015d3f02dfb	1	1	1	1	1	0	0	5	0	0	1	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	nt	same candidate site endpoint shift	matched	1	1	2	2	b6c8db30390857d9f188c55a9719f3d30e85367cc755ec6db9fc5d435de8de97	54d252420eda76d3f80ba72e1d425a2f7ed49141c2ecc5db2b809ae45da6adda	1	1	1	1	1	0	0	5	0	0	1	0	0	0	0	1
