failure_id	validation_instance_id	workload_id	repeat_id	primary_instance	attempt_id	arm	failure_class	failure_reason	missing_output	input_identity_mismatch	ambiguous_matching	unexpected_fallback	retained_in_binary_denominator	replacement_or_retry_used	evidence_role
failure_039	r1_bt3_w098__repeat00	bt3_w098	0	1	r1_bt3_w098__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_040	r1_bt3_w099__repeat00	bt3_w099	0	1	r1_bt3_w099__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_041	r1_bt3_w099__repeat00	bt3_w099	0	1	r1_bt3_w099__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_042	r1_bt3_w100__repeat00	bt3_w100	0	1	r1_bt3_w100__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_043	r1_bt3_w100__repeat00	bt3_w100	0	1	r1_bt3_w100__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_044	r1_bt3_w101__repeat00	bt3_w101	0	1	r1_bt3_w101__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_045	r1_bt3_w101__repeat00	bt3_w101	0	1	r1_bt3_w101__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_046	r1_bt3_w102__repeat00	bt3_w102	0	1	r1_bt3_w102__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_047	r1_bt3_w102__repeat00	bt3_w102	0	1	r1_bt3_w102__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_048	r1_bt3_w103__repeat00	bt3_w103	0	1	r1_bt3_w103__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_049	r1_bt3_w103__repeat00	bt3_w103	0	1	r1_bt3_w103__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_050	r1_bt3_w104__repeat00	bt3_w104	0	1	r1_bt3_w104__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_051	r1_bt3_w104__repeat00	bt3_w104	0	1	r1_bt3_w104__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_052	r1_bt3_w105__repeat00	bt3_w105	0	1	r1_bt3_w105__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_053	r1_bt3_w105__repeat00	bt3_w105	0	1	r1_bt3_w105__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
