grid_shift	run	wall_seconds	column_pruned_enabled	exact_batches	exact_tasks	exact_cells	compact_batches	column_wall_seconds	column_kernel_seconds	column_h2d_seconds	column_d2h_seconds	compact_wall_seconds	compact_kernel_seconds	compact_h2d_seconds	compact_d2h_seconds	fallbacks
0	run_57	70.140834	0	94	384816	1924080000	0	7.56431	4.54994	0.192973	0.767499	0.0	0.0	0.0	0.0	0
0	run_58	61.766893	0	94	384816	1924080000	0	7.60521	4.59304	0.194009	0.763947	0.0	0.0	0.0	0.0	0
0	run_59	60.346555	0	94	384816	1924080000	0	7.64954	4.61734	0.195814	0.77104	0.0	0.0	0.0	0.0	0
0	run_6	79.053987	0	94	384816	1924080000	0	7.48464	4.46439	0.194116	0.7727	0.0	0.0	0.0	0.0	0
0	run_7	84.076334	0	94	384816	1924080000	0	7.48432	4.48316	0.194369	0.779139	0.0	0.0	0.0	0.0	0
0	run_8	77.982384	0	94	384816	1924080000	0	7.40269	4.41407	0.19508	0.76268	0.0	0.0	0.0	0.0	0
0	run_9	77.592249	0	94	384816	1924080000	0	7.45014	4.46024	0.194282	0.762462	0.0	0.0	0.0	0.0	0
256	run_0	71.886794	0	94	384816	1924080000	0	7.81287	4.75929	0.190913	0.763865	0.0	0.0	0.0	0.0	0
256	run_1	103.424243	0	94	384816	1924080000	0	7.72099	4.68957	0.191393	0.752611	0.0	0.0	0.0	0.0	0
256	run_10	72.042662	0	94	384816	1924080000	0	7.41824	4.36948	0.191636	0.769817	0.0	0.0	0.0	0.0	0
256	run_11	72.798854	0	94	384816	1924080000	0	7.44545	4.38898	0.192458	0.780533	0.0	0.0	0.0	0.0	0
256	run_12	65.800649	0	94	384816	1924080000	0	7.51953	4.46927	0.192287	0.76684	0.0	0.0	0.0	0.0	0
256	run_13	63.384434	0	94	384816	1924080000	0	7.52565	4.47827	0.192036	0.77072	0.0	0.0	0.0	0.0	0
256	run_14	78.02917	0	94	384816	1924080000	0	7.59579	4.55261	0.192093	0.763708	0.0	0.0	0.0	0.0	0
256	run_15	73.880452	0	94	384816	1924080000	0	7.56653	4.51915	0.191903	0.769028	0.0	0.0	0.0	0.0	0
256	run_16	65.957695	0	94	384816	1924080000	0	7.42884	4.40336	0.191474	0.743196	0.0	0.0	0.0	0.0	0
256	run_17	69.478661	0	94	384816	1924080000	0	7.54982	4.52188	0.192376	0.747966	0.0	0.0	0.0	0.0	0
256	run_18	82.10601	0	94	384816	1924080000	0	7.51245	4.48481	0.190716	0.748135	0.0	0.0	0.0	0.0	0
256	run_19	76.252736	0	94	384816	1924080000	0	7.39463	4.35999	0.190973	0.755304	0.0	0.0	0.0	0.0	0
256	run_2	68.850817	0	94	384816	1924080000	0	7.52633	4.48204	0.191486	0.760767	0.0	0.0	0.0	0.0	0
256	run_20	70.39506	0	94	384816	1924080000	0	7.46876	4.41774	0.191886	0.778926	0.0	0.0	0.0	0.0	0
256	run_21	78.409567	0	94	384816	1924080000	0	7.51234	4.45613	0.19232	0.782015	0.0	0.0	0.0	0.0	0
256	run_22	83.539936	0	94	384816	1924080000	0	7.56945	4.51621	0.192319	0.77961	0.0	0.0	0.0	0.0	0
256	run_23	84.604408	0	94	384816	1924080000	0	7.5506	4.50477	0.192144	0.773496	0.0	0.0	0.0	0.0	0
256	run_24	72.439479	0	94	384816	1924080000	0	7.53508	4.48949	0.192314	0.774999	0.0	0.0	0.0	0.0	0
256	run_25	78.983183	0	94	384816	1924080000	0	7.56443	4.53163	0.191217	0.758034	0.0	0.0	0.0	0.0	0
256	run_26	71.251964	0	94	384816	1924080000	0	7.53764	4.51013	0.190503	0.756823	0.0	0.0	0.0	0.0	0
256	run_27	73.884233	0	94	384816	1924080000	0	7.52951	4.48503	0.19248	0.775067	0.0	0.0	0.0	0.0	0
